Method,Dice Coeff,F1-Score,Silhouette_Score,Runtime_s
Watershed,1.0,,,0.02860012510791421
SVM,,0.9919276719405876,,0.9345306248869747
Random Forest,,1.0,,0.4762668330222368
k-Means,,,0.31106912546968474,7.528226000024006
